Profile-Img,Player,Position,TeamName,Age,Height,Weight,BirthPlace,PreviousClub
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/XERRI%2C%20Bronson%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Bronson
Xerri",Centre,Bulldogs,23,187,99,"Sydney, NSW",Cronulla-Sutherland Sharks
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/TRACEY%2C%20Connor%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Connor
Tracey",Halfback,Bulldogs,28,183,87,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/HUTCHINSON%2C%20Drew%20NRL%202024%20GP00002-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Drew
Hutchison",Halfback,Bulldogs,29,187,97,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/CLARKE%2C%20Eli%20NRL%202024%20GP00002-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Eli
Clark",Centre,Bulldogs,,,,,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/HAYES%2C%20Harry%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Harry
Hayes",Winger,Bulldogs,,,,20,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/PERHAM%2C%20Hayze%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Hayze
Perham",Five-Eighth,Bulldogs,25,184,93,"Taupo, NZ",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/KIRAZ%2C%20Jacob%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jacob
Kiraz",Winger,Bulldogs,22,187,92,"Sydney, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/SALMON%2C%20Jaeman%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jaeman
Salmon",Five-Eighth,Bulldogs,25,187,96,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/SKELTON%2C%20Jeral%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jeral
Skelton",Centre,Bulldogs,25,191,104,"Redcliffe, QLD",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/SAMRANI%2C%20Jordan%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jordan
Samrani",Centre,Bulldogs,,,,,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/ADDO-CARR%2C%20Josh%20NRL%202024%20GP00010-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Josh
Addo-Carr",Winger,Bulldogs,29,183,88,"Blacktown, NSW","Wests Tigers, Melbourne Storm"
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/OLOAPU%2C%20Karl%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Karl
Oloapu",Five-Eighth,Bulldogs,19,185,94,"Wellington, New Zealand",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/BURTON%2C%20Matt%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Matt
Burton",Halfback,Bulldogs,24,190,96,"Dubbo, NSW",Penrith Panthers
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/CRICHTON%2C%20Stephen%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Stephen
Crichton",Captain - Centre,Bulldogs,23,193,99,"Apia, SAM",Penrith Panthers
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/SEXTON%2C%20Toby%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Toby
Sexton",Halfback,Bulldogs,23,184,86,"Sunnybank, QLD",Gold Coast Titans
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/PATOLO%2C%20Chris%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Chris
Patolo",Prop,Bulldogs,23,185,110,"Sydney, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/DSF-Bodyshot.png?center=0.5%2C0.5&preset=player-profile-large,"Daniel
Suluka-Fifita",Prop,Bulldogs,25,192,112,"Sydney, NSW",
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/TODD%2C%20Jack%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jack
Todd",Lock,Bulldogs,,,,,
https://www.bulldogs.com.au/SysSiteAssets/2024/08_august/pi/underhill-bodyshot.png?center=0.23%2C0.49&preset=player-profile-large,"Jack
Underhill",Lock,Bulldogs,,,,,
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/PRESTON%2C%20Jacob%20NRL%202024_GP00006-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jacob
Preston",2nd Row,Bulldogs,22,189,100,"Wahroonga, NSW",-
/remote.axd?https://rugbyimages.statsperform.com/Player%20Bodyshots/111/2024/500010/TURPIN%2C%20Jake%20%20NRL%202024%20GP00001-COPY.png?center=0.5%2C0.5&preset=player-profile-large,"Jake
Turpin",Hooker,Bulldogs,27,178,86,"Brisbane, QLD",
